PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,Status,Master IC,,,
202410,1,242520,12103010039,1730269142593,25,HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,270,10 NO,PLPCH ,,1730093496414-unilever sri lanka ltd-lever ayush#3.png,-,,,,
202410,1,77358084,18830010001,1730096207449,13,UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY /TOTAL 10 /WITH PURE OLIVE OIL AND HONEY/ FOR MOISTURISED SOFT SKIN /SOAP/ 200/ GM /(100*2) /+/ SAVE /RS/ 50,250,200 GM,PLPCH,,1730096207449-unilever sri lanka ltd-lifebuoy#3.png,-,,,,
202410,1,77358084,18830010001,1730096564011,16,UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT /WITH REAL LEMON/ EWRPK/ 200/ GM/ (100*2)/ + /SAVE/ RS/ 80,220,200 GM,EWRPK,,1730096564011-unilever sri lanka ltd-sunlight#3.png,-,,,,
202410,1,77358084,18830010001,1730091432879,12,NEW NOORI PACKETTING TEA FACTORY,NOORI KAHATA,NEW/ NOORI /PURE CEYLON TEA / 40 /GM/ PLPCH,100,40 GM,PLPCH,,1730091432879-new noori packetting tea factory-noori kahata#3.png,-,,,,
202410,1,77358084,18830010001,1730099140325,13,SWADESHI INDUSTRIAL WORKS LTD,SWADESHI KHOMBA,SWADESHI/ KHOMBA/ LEMONGRASS/ FOR A PLAYFUL CITRUSY SENSATION/ 67 /GM/EWRPK ,100,67 GM,EWRPK,,1730099140325-swadeshi industrial works ltd-swadeshi khomba#3.png,-,,,,
202410,1,131554171,13426010004,1730361154429,19,UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/15G/CD BOX/NATURAL GLOW & PROTECT FACE CREAM,235,15G,CD BOX,,1730361154429-unilever sri lanka ltd-ayush #3.png,-,,,,
202410,1,131554171,13426010004,1730360403368,19,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA BABY/100/ML/PBT/FLORAL KOHOMBA & ROSE WATER,270,100ML,PBT,,1730360403368-swadeshi industrial works ltd-khomba baby#3.png,-,,,,
202410,1,131554171,13426010004,1730360603892,26,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI DANDRUFF SHAMPOO ,680,180ML,PBT,,1730360603892-sanjeewaka ayurvedic products-chandanalepa#3.png,-,,,,
202410,1,131554171,13426010004,1730360937399,19,UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/25G/CD BOX/ANTI MARK & OIL CONTROL FACE CREAM,485,25G,CD BOX,,1730360937399-unilever sri lanka ltd-ayush #3.png,-,,,,
202410,1,131554171,13426010004,1730359553756,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/G/CD BOX/VRNIVEL,220,75G,CD BOX,,1730359553756-sanjeewaka ayurvedic products-chandanalepa#3.png,-,,,,
202410,1,131554171,13426010004,1730359601260,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/G/CD BOX/KOHOMBA,220,75G,CD BOX,,1730359601260-sanjeewaka ayurvedic products-chandanalepa#3.png,-,,,,
202410,1,50727073,19810010002,1730270523279,6,CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,100,85GM,PLPCH,,1730359601260-sanjeewaka ayurvedic products-chandanalepa#3.png,-,,,,
202410,1,47588591,19589010001,1730270523279,6,CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,100,85GM,PLPCH,,1730359601260-sanjeewaka ayurvedic products-chandanalepa#3.png,-,,,,
202410,1,131554410,22301010004,1729061157420,23,NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,780,400G ,CDBOX ,,1730359601260-sanjeewaka ayurvedic products-chandanalepa#3.png,-,,,,
202410,1,131557371,71404010009,1730287737594,19,UNILEVER SRI LANKA LTD,AYUSH,AYUSH/25/GM/CDBOX/NATURAL GLOW & PROTECT FOR A GOLDEN GLOW FACE CREAM,485,25GM,CDBOX,,1730287737594-unilever sri lanka ltd-ayush#3.png,-,,,,
202410,1,131557371,71404010009,1730287560455,19,UNILEVER SRI LANKA LTD,AYUSH,AYUSH/15/GM/CDBOX/ANTI MARK & OIL CONTROL FOR SPOTLESS & OIL CLEAR SKIN FACE CREAM,235,15GM,CDBOX,,1730287560455-unilever sri lanka ltd-ayush#3.png,-,,,,
202410,1,131557371,71404010009,1730288243655,19,EMAMI LANKA PVT LTD ,FAIR & HANDSOME,EMAMI FAIR & HANDSOME/30/GM/CDBOX/NATURAL FIRST HEALTHY RADIANCE CREAM,495,30GM,CDBOX,,1730288243655-emami lanka pvt ltd -fair - handsome#3.png,-,,,,
202410,1,131557371,71404010009,1730287247129,19,UNILEVER SRI LANKA LTD,AYUSH,AYUSH/15/GM/CDBOX/NATURAL GLOW & PROTECT FOR GOLDEN FACE CREAM,235,15GM,CDBOX,,1730287247129-unilever sri lanka ltd-ayush#3.png,-,,,,
202410,1,110082549,11804010002,1730177233722,6,CEYLON BISCUITS LIMITED,MUNCHEE CAROL,MUNCHEE CAROL COOKIES 85 GM ,100,85 GM,PLPCH,,1730177233722-ceylon biscuits limited-munchee carol#3.png,-,,,,
202410,1,110082532,11804010001,1730260697071,21,SUPER WHITE LANKA PVT LTD,SUPER WHITE,SUPER WHITE DISHWASH LEMON LIQUID 500 ML PLBOT,380,500 ML,PLBOT,,1730260697071-super white lanka pvt ltd-super white#3.png,-,,,,
202410,1,110082532,11804010001,1730261050860,16,AKILA INDUSTRIES,SASEEBRIGHT,SASEEBRIGHT LEMON SOAP 90 GM ,60,90 GM,EWRPK,,1730261050860-akila industries-saseebright#3.png,-,,,,
202410,1,110082532,11804010001,1730262461814,21,KMT TRADERS ,KMT BRIGHT ,KMT BRIGHT LIFE DISH WASH  EXTRA POWER OF LIME 4 L,1400,4 L,PLCAN,,1730262461814-kmt traders -kmt bright #3.png,-,,,,
202410,1,38769786,83201010017,1730181510589,9,PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/400/GM/FULL CREAM MILK POWDER/CDBOX ,910,400GM,CDBOX ,,1730262461814-kmt traders -kmt bright #3.png,-,,,,
202410,1,874076,15986010001,1730270332790,35,DARLEY BUTLER & COMPANY ,DARLEY ,DARLEY / CORN FLOUR / 100GM / CDBOX,200,100GM,CDBOX,,1730270332790-darley butler - company -darley #3.png,-,,,,
202410,1,111620222,18802010003,1729234688087,13,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/ ROSE AND JASMINE /MOISTURISING SOAP /90G /CDBOX,120,90G,CDBOX,,1729234688087-godakanda herbals -pvt- ltd - -vendol lanka--vendol baby#3.png,-,,,,
202410,1,111620222,18802010003,1729235200705,13,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/ SANDUN SEPALIKA /MOISTURISING SOAP /90G /CDBOX,125,90G,CDBOX,,1729235200705-godakanda herbals -pvt- ltd - -vendol lanka--vendol baby#3.png,-,,,,
202410,1,61892560,12103010004,1729049415324,25,HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,270,10 NO,PLPCH ,,1729235200705-godakanda herbals -pvt- ltd - -vendol lanka--vendol baby#3.png,-,,,,
202410,1,61892560,12103010004,1728446998419,45,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,90,25 GM,PLPCH,New Category,1729235200705-godakanda herbals -pvt- ltd - -vendol lanka--vendol baby#3.png,-,,,,
202410,1,61892560,12103010004,1730269142593,25,HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,270,10 NO,PLPCH ,,1730269142593-hemas marketing-fems#3.png,-,,,,
202410,1,8162687,61402010008,1728807136256,14,GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE/SOFT/SENSITIVE/TOOTH BRUSH/1 NOS,195,1 NOS,NONE,,1730269142593-hemas marketing-fems#3.png,-,,,,
202410,2,8159068,17800020001,1730276775116,2,DUMBARA NATURAL FOODS (PVT) LTD,DUMBARA,DUMBARA/200/ML/PET/FRUIT PUNCH/MANGO DRINK,140,200 ML,PET,,1730276775116-dumbara natural foods -pvt- ltd-dumbara#3.png,-,,,,
202410,2,8159068,17800020001,1728537025242,2,DUMBARA NATURAL FOODS (PVT) LTD,DUMBARA,DUMBARA/200/ML/PET/FRUIT PUNCH/PAPAYA DRINK ,140,200 ML,PET,,1730276775116-dumbara natural foods -pvt- ltd-dumbara#3.png,-,,,,
202410,1,8159068,17800010001,1730182814782,23,NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1 ST CUP/MALTED FOOD DRINK+FREE MAGGI PAPARE KOTTU 75 GM,780,400 GM,CDBOX ,,1730182814782-nestle lanka-nestomalt#3.png,-,,,,
202410,1,8159068,17800010001,1730180252860,24,LAKMEE EXPORTS,LAKMEE,LAKMEE/130/GM/PLPCH/MAGIC MIX/INSTANT NOODLES+FREE LAKMEE SAUCE 15GM SACHET ,150,130 GM,PLPCH ,,1730180252860-lakmee exports-lakmee#3.png,-,,,,
202410,1,8159068,17800010001,1730191645550,13,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/EWRPK/LEMONGRASS,100,67 GM,EWRPK ,,1730191645550-swadeshi industrial works ltd-khomba#3.png,-,,,,
