PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202502,1,8159068,17800010001,1740647298578,21,DARLEY BUTLER,TEEPOL,TEEPOL/500/ML/PLPCH/DISHWASHING LIQUID/ORANGE WITH ALOE VERA REFILL PACK,295,500 ML,"PLPCH ",,1740647298578-darley butler-teepol#3.png
202502,1,8159068,17800010001,1740548904648,15,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,"SUNLIGHT/50/GM/PLPCH/CLEAN & CITRUS FRESH/2 IN 1 DOUBLE PERFUME LOCK DOUBLE CLEANING CRYSTALS DETERGENT POWDER ",25,50 GM,"PLPCH ",,1740647298578-darley butler-teepol#3.png
202502,1,120547179,10946010003,1740205085991,19,"UNILEVER SRI LANKA LIMITED ",VASELINE,VASELINE PERFUMED MOISTURIZER/KISS OF PETALS/ WITH SERUM/100ML/PBOTL,580,100ML,PBOTL,,1740647298578-darley butler-teepol#3.png
202502,1,120547179,10946010003,1740549194752,26,HERB LINE (PVT)LTD,HERB LINE,HERB LINE KESHA WARDHANI SHAMPOO/100ML/PLBOT,345,100 ML,PLBOT,,1740549194752-herb line -pvt-ltd-herb line#3.png
202502,1,115434433,11808010001,1740128680895,43,COLMANS LANKA (PVT) LTD,CENTURY,"CENTURY/15/G/SACHET/TOMATO SAUCE ",20,15G,"SACHET ",,1740128680895-colmans lanka -pvt- ltd-century#3.png
202502,5,11574,73050002,1740731226952,37,LATEX LANKA INTERNATIONAL (PVT) LTD,WAPP,WAPP /20L/CANISTER/COLOER/,59200,20L,"CANISTER ",,1740731226952-latex lanka international -pvt- ltd-wapp#3.png
202502,1,61155853,10227010002,1740724396465,10,YOMA MARKETING SERVICES,YOMA,YOMA/40/GM/PLPCH/PRAWNS TASTE SOYA MEAT,55,40GM,PLPCH,,1740724396465-yoma marketing services-yoma#3.png
202502,1,61155853,10227010002,1740724820478,10,YOMA MARKETING SERVICES,YOMA,YOMA/60/GM/PLPCH/PRAWN FLAVOUR SOYA MEAT,70,60GM,PLPCH,,1740724820478-yoma marketing services-yoma#3.png
202502,1,61155853,10227010002,1740720786116,17,RASORA PRODUCTS,RASORA,RASORA/80/GM/PLC CUP/JELLY YOGHURT,80,80GM,PLC CUP,Invoices not available,1740720786116-rasora products-rasora#3.png
202502,1,61155853,10227010002,1740724278446,10,YOMA MARKETING SERVICES,YOMA,YOMA/40/GM/PLPCH/CURRY SOYA TASTE SOYA MEAT,55,40GM,PLPCH,,1740724278446-yoma marketing services-yoma#3.png
202502,1,61155853,10227010002,1740724015534,10,YOMA MARKETING SERVICES,YOMA,YOMA/40/GM/PLPCH/CHICKEN TASTE,55,40GM,PLPCH,Invoices not available,1740724015534-yoma marketing services-yoma#3.png
202502,1,277201,52401010007,1740719260333,10,RAIGAM MARKETING SERVICE,"RAIGAM ",RAIGAM /40/G/EWRPK/NO-1DAEAPORANU CHICKEN FLAVOR,60,40G,EWRPK,,1740719260333-raigam marketing service-raigam #3.png
202502,1,277201,52401010007,1740718946307,10,LAKMEE EXPORTS,"LAKMEE ",LAKMEE/50/G/EWRPK/NO-1/ LAGOON PRAWNS KALAPU ISSO,120,50G,EWRPK,,1740718946307-lakmee exports-lakmee #3.png
202502,1,277201,52401010007,1740722767086,10,RAIGAM MARKETING SERVICE,RAIGAM BADUMA,"RAIGAM BEDUMA/100/G/EWRPK/NO-1/CHICKEN FLAVOR ",0,100G,EWR,Delete the Item,1740722767086-raigam marketing service-raigam baduma#1.png
202502,1,277201,52401010007,1740718668243,10,RAIGAM MARKETING SERVICE,RAIGAM SOYA,"RAIGAM 60/G/EWRPK/TEMPERED DHAL CURRY FLAVOUR ",130,60G,EWRPK,,1740718668243-raigam marketing service-raigam soya#3.png
202502,1,277201,52401010007,1740718434161,10,RAIGAM MARKETING SERVICE,RAIGAM SOYA,RAIGAM/60/G/EWRPK/ CRAB FLAVOUR,130,60G,EWRPK,,1740718434161-raigam marketing service-raigam soya#3.png
202502,1,8154287,31201010007,1740461371959,16,UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT/(100*4)/GM/EWRPK/REAL LEMON POWER,420,100*4,EWRPK,,1740461371959-unilever sri lanka ltd-sunlight#3.png
202502,1,8154287,31201010007,1740476738415,12,BEAM HELA OSU LANKA(PVT) LTD.,BEAM,BEAM/(2×20G)40/G/CD BOX/NELLI RASAKINDA HERBAL DRINK,450,40/G,CDBOX,,1740476738415-beam hela osu lanka-pvt- ltd--beam#3.png
202502,1,8154287,31201010007,1740476559220,12,BEAM HELA OSU LANKA(PVT) LTD.,BEAM,BEAM/(2G×20)40/G/CD BOX/INGURU-LOTHTHAMALLI TEA,450,40/G,CDBOX,,1740476559220-beam hela osu lanka-pvt- ltd--beam#3.png
202502,1,111619985,53403010007,1740374011952,15,UNILEVER SRI LANKA LTD,SUNLIGHT,"SUNLIGHT/50/GM/PLPCH/2 IN 1/CLEAN & CITRUS FRESH/DETERGENT POWDER ",25,50 GM,PLPCH,,1740476559220-beam hela osu lanka-pvt- ltd--beam#3.png
202502,1,8156987,41402010001,1740726055227,39,IMPORTED,"LASER LZF ",LASER LZF/3/GM/TUBE/SUPER GLUE,100,3GM,TUBE,,1740726055227-imported-laser lzf #3.png
